日期,買入,賣出
2019/12/11,44623.00,45037.00
2019/12/10,44478.00,44892.00
2019/12/09,44386.00,44800.00
2019/12/06,44347.00,44761.00
2019/12/05,44830.00,45244.00
2019/12/04,44709.00,45123.00
2019/12/03,44921.00,45335.00
2019/12/02,44430.00,44844.00
2019/11/29,44478.00,44892.00
2019/11/28,44177.00,44591.00
2019/11/27,44227.00,44641.00
2019/11/26,44352.00,44766.00
2019/11/25,44281.00,44695.00
2019/11/22,44518.00,44932.00
2019/11/21,44587.00,45001.00
2019/11/20,44561.00,44975.00
2019/11/19,44623.00,45037.00
2019/11/18,44640.00,45054.00
2019/11/15,44575.00,44989.00
2019/11/14,44627.00,45041.00
2019/11/13,44437.00,44851.00
2019/11/12,43925.00,44339.00
2019/11/11,43973.00,44387.00
2019/11/08,44367.00,44781.00
2019/11/07,44704.00,45118.00
2019/11/06,45006.00,45420.00
2019/11/05,44927.00,45341.00
2019/11/04,45688.00,46102.00
2019/11/01,45815.00,46229.00
2019/10/31,45810.00,46224.00
2019/10/30,45417.00,45831.00
2019/10/29,45245.00,45659.00
2019/10/28,45397.00,45811.00
2019/10/25,45821.00,46235.00
2019/10/24,45684.00,46098.00
2019/10/23,45515.00,45929.00
2019/10/22,45197.00,45611.00
2019/10/21,45215.00,45629.00
2019/10/18,45442.00,45856.00
2019/10/17,45661.00,46075.00
2019/10/16,45516.00,45930.00
2019/10/15,45226.00,45640.00
2019/10/14,45449.00,45863.00
2019/10/09,46225.00,46639.00
2019/10/08,46112.00,46526.00
2019/10/07,46125.00,46539.00
2019/10/05,46369.00,46783.00
2019/10/04,46410.00,46824.00
2019/10/03,46664.00,47078.00
2019/10/02,46348.00,46762.00
2019/10/01,45945.00,46359.00
